company,ticker,date,open,high,low,close,volume
Walmart,WMT,2025-11-20,103.94,107.91,102.68,107.11,50375900
Amazon,AMZN,2025-11-20,227.05,227.41,216.74,217.14,50309000
UnitedHealth,UNH,2025-11-20,310.81,314.75,310.0,311.54,7337600
Apple,APLE,2025-11-20,11.43,11.57,11.31,11.33,2677500
CVS Health,CVS,2025-11-20,77.19,77.5,75.95,76.04,5258100
Alphabet,GOOGL,2025-11-20,304.54,306.42,288.67,289.45,62025200
Exxon Mobil,XOM,2025-11-20,117.98,119.01,116.74,117.02,14401000
McKesson,MCK,2025-11-20,857.42,861.39,845.48,849.46,612200
Cencora,COR,2025-11-20,360.57,363.63,359.23,362.07,975700
JPMorgan Chase,JPM,2025-11-20,306.34,309.92,298.16,298.38,7501600
Costco,COST,2025-11-20,893.5,904.57,891.0,893.29,2648300
Cigna,CI,2025-11-20,271.41,274.43,267.52,269.6,2005800
Microsoft,MSFT,2025-11-20,492.71,493.57,475.5,478.43,26802500
Cardinal Health,CAH,2025-11-20,207.91,209.57,206.1,207.9,2588900
Chevron,CVX,2025-11-20,152.54,153.04,150.05,150.31,7623400
Bank of America,BAC,2025-11-20,52.5,52.95,50.97,51.0,36661600
General Motors,GM,2025-11-20,68.94,69.89,67.78,68.04,9385200
Ford Motor,F,2025-11-20,12.91,13.01,12.38,12.41,95861900
Elevance Health,ELV,2025-11-20,317.58,319.05,311.88,313.99,1120600
Citi,CITI.NE,2025-11-20,42.35,42.75,40.58,40.69,16455
Meta,META,2025-11-20,603.5,606.72,583.35,589.15,20603000
Centene,CNC,2025-11-20,36.01,36.28,34.39,34.83,8321300
Home Depot,HD,2025-11-20,336.36,338.9,332.13,332.38,4025300
Fannie Mae,FNMA,2025-11-20,11.49,11.65,9.46,9.63,10241900
Kroger,KR,2025-11-20,67.09,67.41,64.86,65.9,7503000
Phillips 66,PSX,2025-11-20,134.82,137.01,131.95,131.99,2155100
Marathon Petroleum,MPC,2025-11-20,195.62,197.96,187.42,187.87,2983600
Verizon,VZ,2025-11-20,41.15,41.44,40.65,40.76,32173600
Nvidia,NVDA,2025-11-20,195.95,196.0,179.85,180.64,343504800
Goldman Sachs,GSBD,2025-11-20,9.55,9.63,9.45,9.46,1470600
Wells Fargo,WFC,2025-11-20,85.06,86.04,82.32,82.4,12135800
Valero Energy,VLO,2025-11-20,180.11,182.94,170.63,170.82,3980500
Comcast,CMCSA,2025-11-20,26.98,27.14,26.55,26.63,24690800
Allstate,ALL,2025-11-20,211.81,213.05,210.36,211.74,1772200
AT&T,ATT.L,2025-11-20,522.0,530.0,516.0,518.0,4026492
Freddie Mac,FMCC,2025-11-20,10.39,10.79,8.76,8.89,6392400
Humana,HUM.ST,2025-11-20,46.2,46.45,45.6,46.15,78160
Morgan Stanley,MS,2025-11-20,164.2,166.94,158.51,158.7,5258600
Target,TGT,2025-11-20,86.16,86.93,83.44,83.68,12051800
StoneX,SNEX,2025-11-20,88.94,89.71,84.09,84.34,344300
Tesla,TSLA,2025-11-20,414.63,428.94,394.74,395.23,113548800
Dell Technologies,DELL,2025-11-20,123.65,125.68,116.75,117.4,8855000
PepsiCo,PEP,2025-11-20,146.6,147.08,144.9,146.1,6878900
Walt Disney,DIS,2025-11-20,105.37,105.8,102.5,102.7,12609900
UPS,UPS,2025-11-20,92.78,93.84,90.84,90.87,7452700
Johnson & Johnson,JNJ,2025-11-20,202.0,204.51,201.57,203.07,10612600
FedEx,FDX,2025-11-20,265.5,270.77,262.99,263.1,1572500
Archer Daniels Midland,ADM,2025-11-20,58.24,58.99,57.85,57.87,2997400
Procter & Gamble,PG,2025-11-20,146.64,148.66,146.13,148.19,9021300
Lowe's,X1G.PA,2025-11-20,233.34,233.34,232.8,232.95,162
Energy Transfer,ET,2025-11-20,16.97,16.99,16.48,16.64,20519000
RTX,RTX,2025-11-20,175.85,176.85,171.82,172.05,4221000
Albertsons,ACI,2025-11-20,17.78,17.89,17.5,17.57,8397000
Sysco,SYY,2025-11-20,75.88,76.26,75.13,75.48,2824400
Progressive,PGR,2025-11-20,223.24,226.2,220.8,226.0,2785100
American Express,AXP,2025-11-20,349.97,353.13,340.32,343.8,3095700
