company,ticker,date,open,high,low,close,volume
Walmart,WMT,2025-04-03,85.87,89.45,85.87,86.85,33012900
Amazon,AMZN,2025-04-03,183.0,184.13,176.92,178.41,95553600
UnitedHealth,UNH,2025-04-03,522.95,541.22,522.26,533.27,6457900
Apple,APLE,2025-04-03,12.12,12.12,11.05,11.16,6584400
CVS Health,CVS,2025-04-03,64.07,67.19,63.7,65.56,12204200
Alphabet,GOOGL,2025-04-03,150.79,152.46,150.07,150.4,46883400
Exxon Mobil,XOM,2025-04-03,111.31,112.36,109.23,109.42,21204600
McKesson,MCK,2025-04-03,697.33,723.42,694.98,715.37,2212200
Cencora,COR,2025-04-03,280.17,290.25,278.51,287.79,3339400
JPMorgan Chase,JPM,2025-04-03,230.6,231.45,223.74,225.11,17188500
Costco,COST,2025-04-03,927.27,977.33,924.2,963.12,3096900
Cigna,CI,2025-04-03,328.55,339.21,326.73,335.13,2403800
Microsoft,MSFT,2025-04-03,372.79,375.47,367.38,371.12,30198000
Cardinal Health,CAH,2025-04-03,137.76,138.62,134.45,136.23,4062500
Chevron,CVX,2025-04-03,154.72,155.91,150.55,150.86,15501000
Bank of America,BAC,2025-04-03,38.19,38.4,36.6,36.8,115497900
General Motors,GM,2025-04-03,46.68,47.51,45.59,45.64,18871200
Ford Motor,F,2025-04-03,9.6,9.81,9.16,9.17,220271000
Elevance Health,ELV,2025-04-03,429.66,450.01,429.66,448.26,3314800
Citi,CITI.NE,2025-04-03,27.42,27.44,26.06,26.12,115496
Meta,META,2025-04-03,545.43,551.76,529.53,530.85,34777500
Centene,CNC,2025-04-03,60.9,64.59,60.64,64.29,8566200
Home Depot,HD,2025-04-03,351.59,355.8,347.57,351.72,5407100
Fannie Mae,FNMA,2025-04-03,6.13,6.33,5.95,6.12,11693500
Kroger,KR,2025-04-03,66.86,69.88,66.86,69.67,14958000
Phillips 66,PSX,2025-04-03,114.23,115.51,103.72,104.23,6785500
Marathon Petroleum,MPC,2025-04-03,137.75,138.42,125.64,126.52,5076200
Verizon,VZ,2025-04-03,43.31,43.98,43.04,43.44,30474800
Nvidia,NVDA,2025-04-03,103.5,105.62,101.59,101.79,338769400
Goldman Sachs,GSBD,2025-04-03,10.39,10.46,10.24,10.37,1103100
Wells Fargo,WFC,2025-04-03,66.67,67.59,64.33,64.59,25880300
Valero Energy,VLO,2025-04-03,123.55,124.23,111.44,111.71,9514600
Comcast,CMCSA,2025-04-03,35.9,35.95,34.91,35.02,26834100
Allstate,ALL,2025-04-03,200.51,206.42,200.32,203.33,2010700
AT&T,ATT.L,2025-04-03,357.0,357.0,333.93,337.5,1797004
Freddie Mac,FMCC,2025-04-03,5.33,5.44,5.12,5.25,2407200
Humana,HUM.ST,2025-04-03,42.13,43.45,41.55,41.79,240290
Morgan Stanley,MS,2025-04-03,107.82,109.08,104.66,105.69,15186100
Target,TGT,2025-04-03,94.42,95.09,89.83,91.07,19020400
StoneX,SNEX,2025-04-03,73.63,75.63,73.19,74.22,459800
Tesla,TSLA,2025-04-03,265.29,276.3,261.51,267.28,136174300
Dell Technologies,DELL,2025-04-03,84.56,85.01,75.65,76.15,30868500
PepsiCo,PEP,2025-04-03,148.59,150.9,147.78,148.28,8216200
Walt Disney,DIS,2025-04-03,94.11,94.38,88.23,88.46,19353400
UPS,UPS,2025-04-03,101.3,101.92,94.88,95.02,10057700
Johnson & Johnson,JNJ,2025-04-03,156.25,158.12,155.0,157.31,13249300
FedEx,FDX,2025-04-03,227.25,229.92,210.95,213.11,5066500
Archer Daniels Midland,ADM,2025-04-03,46.73,46.85,45.88,46.3,3909900
Procter & Gamble,PG,2025-04-03,170.78,171.34,167.35,168.98,9393300
Lowe's,X1G.PA,2025-04-03,228.16,228.16,228.05,228.2,214
Energy Transfer,ET,2025-04-03,17.18,17.29,16.69,16.73,30295900
RTX,RTX,2025-04-03,129.25,131.93,128.21,128.49,4605200
Albertsons,ACI,2025-04-03,21.85,22.7,21.85,22.41,7863900
Sysco,SYY,2025-04-03,73.96,74.71,73.44,73.9,5029600
Progressive,PGR,2025-04-03,278.09,289.65,277.03,286.77,3831200
American Express,AXP,2025-04-03,258.03,258.83,245.12,245.76,7736200
Lockheed Martin,LMT,2025-04-03,447.15,455.4,444.47,448.4,1813800
MetLife,MET,2025-04-03,76.66,77.51,74.09,74.24,6198900
HCA Healthcare,HCA,2025-04-03,345.06,352.03,343.84,347.84,1946900
Prudential Financial,PRU,2025-04-03,102.95,103.93,100.64,100.84,2817400
Boeing,BA,2025-04-03,160.0,160.21,150.41,150.91,15877400
Caterpillar,CAT,2025-04-03,316.07,321.04,301.56,302.32,4638700
Merck,MRK,2025-04-03,86.99,87.16,84.57,84.7,12684100
Pfizer,PFIZER.NS,2025-04-03,3984.38,4032.48,3891.13,3955.13,30289
IBM,IBM,2025-04-03,238.17,245.93,238.0,238.94,5309600
New York Life Insurance,601336.SS,2025-04-03,49.96,51.37,49.67,49.96,25106755
Delta Airlines,DAL,2025-04-03,40.19,40.3,38.28,38.34,18127900
TD Synnex,SNX,2025-04-03,99.36,100.93,96.46,98.46,2035000
United Airlines,UAL,2025-04-03,65.43,65.64,60.03,60.23,16694400
ConocoPhillips,COP,2025-04-03,97.76,98.84,92.69,92.81,13870900
TJX,TJX,2025-04-03,122.64,126.82,121.99,124.27,11388100
AbbVie,ABBV,2025-04-03,205.11,205.49,196.27,196.66,7593100
Enterprise Products Partners,EPD,2025-04-03,31.87,32.12,31.61,31.76,7638000
Charter Communications,CHTR,2025-04-03,378.28,385.88,368.06,368.4,1445400
Performance Food,PFGC,2025-04-03,78.49,79.53,75.52,76.05,2260800
American Airlines,AAL,2025-04-03,9.98,9.98,9.5,9.51,77097900
Cisco Systems,CSCO,2025-04-03,58.67,59.2,56.58,56.63,40006300
HP,HP,2025-04-03,24.0,24.2,21.76,21.9,2418000
Tyson Foods,TSN,2025-04-03,62.25,63.22,61.9,62.43,2595600
Intel,INTC,2025-04-03,21.4,23.9,20.86,22.43,242972100
Oracle,ORCL,2025-04-03,138.22,140.35,135.63,136.21,14433800
Broadcom,AVGO,2025-04-03,159.89,162.77,153.08,153.39,44354900
Deere,DE,2025-04-03,453.53,460.62,443.64,444.49,2287700
Nike,NKE,2025-04-03,55.71,57.99,54.75,54.93,71499500
Plains GP,PAGP,2025-04-03,19.39,19.79,19.3,19.42,2957800
USAA,UIPMX,2025-04-03,26.75,26.75,26.75,26.75,0
Ingram Micro,INGM,2025-04-03,17.48,17.58,16.66,16.71,532300
General Dynamics,GD,2025-04-03,269.84,274.93,264.98,265.6,1416700
Coca-Cola,COLA.WA,2025-04-03,270.55,270.55,270.55,270.55,3
TIAA,TILIX,2025-04-03,57.86,57.86,57.86,57.86,0
Travelers,TRV,2025-04-03,260.44,264.06,258.66,260.97,1519700
Eli Lilly,LLY,2025-04-03,805.9,814.13,782.58,784.6,2675100
