company,ticker,date,open,high,low,close,volume
Walmart,WMT,2024-04-03,58.44,58.56,58.0,58.49,14615100
Amazon,AMZN,2024-04-03,179.9,182.87,179.8,182.41,31046600
Apple,AAPL,2024-04-03,167.42,169.3,167.22,168.28,47691700
Unitedhealth Group,UNH,2024-04-03,448.69,449.52,442.43,446.5,4460400
Cvs,CVS,2024-04-03,68.77,69.38,68.1,69.29,9200700
Exxon Mobil,XOM,2024-04-03,112.48,112.74,111.78,112.31,16504300
Alphabet,GOOGL,2024-04-03,152.55,154.02,151.68,153.86,24705000
Mckesson,MCK,2024-04-03,531.82,538.24,531.13,536.44,473000
Cencora,COR,2024-04-03,240.26,243.23,238.95,242.29,1125200
Costco,COST,2024-04-03,703.23,704.05,690.64,698.98,3205500
Jp Morgan Chase,JPM,2024-04-03,191.54,192.04,190.25,190.83,9353400
Microsoft,MSFT,2024-04-03,414.33,417.81,413.7,415.04,16502300
Cardinal Health,CAH,2024-04-03,109.13,109.7,107.94,108.3,1254300
Chevron,CVX,2024-04-03,148.29,149.08,147.94,148.6,7819700
Cigna,CI,2024-04-03,354.71,354.85,350.77,351.49,1567500
Ford Motor,F,2024-04-03,11.84,12.22,11.82,12.2,57498900
Bank Of America,BAC,2024-04-03,36.08,36.68,35.96,36.12,33338500
General Motors,GM,2024-04-03,43.97,44.71,43.95,44.47,14377100
Elevance Health,ELV,2024-04-03,487.19,494.26,487.07,493.93,1085200
Citigroup,C,2024-04-03,59.53,60.03,58.26,58.42,18079900
Centene,CNC,2024-04-03,72.55,73.08,72.03,73.04,3600800
Home Depot,HD,2024-04-03,349.06,349.44,346.16,347.03,4723000
Marathon Petroleum,MPC,2024-04-03,204.0,210.59,204.0,207.1,3902500
Kroger,KR,2024-04-03,55.73,56.23,55.21,55.67,3817600
Phillips 66,PSX,2024-04-03,159.99,163.14,158.95,162.35,3210500
Fannie Mae,FNMA,2024-04-03,1.6,1.64,1.54,1.56,3648300
Valero Energy,VLO,2024-04-03,170.03,173.45,168.72,171.21,4127500
Meta Platforms,META,2024-04-03,496.4,504.67,496.22,504.17,12099200
Verizon Communications,VZ,2024-04-03,37.98,38.26,37.93,38.21,18211800
At&T,ATT.L,2024-04-03,340.0,348.0,338.0,348.0,1614834
Comcast,CMCSA,2024-04-03,39.6,39.8,39.28,39.4,18818700
Wells Fargo,WFC,2024-04-03,54.92,55.65,54.59,54.86,13226500
Goldman Sachs Group,GS,2024-04-03,398.0,403.46,398.0,400.91,1549200
Freddie Mac,FMCC,2024-04-03,1.5,1.5,1.39,1.41,2584600
Target,TGT,2024-04-03,165.42,166.03,164.08,164.44,3033900
Humana,HUM.ST,2024-04-03,22.94,23.87,22.94,23.87,36599
Tesla,TSLA,2024-04-03,164.02,168.82,163.28,168.38,82950100
Morgan Stanley,MS,2024-04-03,88.1,89.37,87.91,88.14,4821100
Johnson & Johnson,JNJ,2024-04-03,150.48,150.73,147.11,147.11,8098200
Archer Daniels Midland,ADM,2024-04-03,58.61,58.98,58.11,58.75,4097900
Pepsico,PEP,2024-04-03,161.17,162.04,159.93,160.86,5828000
United Parcel Service,UPS,2024-04-03,136.11,137.53,134.67,137.45,4314200
Fedex,FDX,2024-04-03,267.55,270.42,265.93,269.3,1805800
Walt Disney,DIS,2024-04-03,120.66,122.06,116.82,117.41,22480400
Dell Technologies,DELL,2024-04-03,114.43,126.06,114.31,124.92,19390800
Lowe'S,X1G.PA,2024-04-03,221.21,221.23,221.06,221.16,701
Procter & Gamble,PG,2024-04-03,153.66,153.9,148.92,149.37,9601800
Energy Transfer,ET,2024-04-03,13.88,14.02,13.83,14.02,9736800
Boeing,BA,2024-04-03,187.68,188.78,184.27,184.92,6609300
Albertsons,ACI,2024-04-03,20.24,20.33,20.09,20.24,1444500
Sysco,SYY,2024-04-03,76.61,76.8,76.11,76.25,2645300
Rtx,RTX,2024-04-03,93.91,94.68,93.68,94.18,15885400
General Electric,GE,2024-04-03,136.62,146.3,136.48,144.01,16208500
Lockheed Martin,LMT,2024-04-03,435.15,436.33,430.03,430.33,758600
American Express,AXP,2024-04-03,221.47,222.9,220.92,222.28,2070100
Caterpillar,CAT,2024-04-03,356.01,366.32,355.14,366.04,2623700
Metlife,MET,2024-04-03,69.44,70.32,69.44,69.89,2003000
Hca Healthcare,HCA,2024-04-03,325.29,328.79,325.12,328.33,791700
Progressive,PGR,2024-04-03,205.9,207.33,205.23,206.37,2526800
Ibm,IBM,2024-04-03,179.05,181.66,178.95,181.24,2826200
Deere,DE,2024-04-03,395.68,400.0,394.76,397.44,1077300
Nvidia,NVDA,2024-04-03,88.44,90.33,88.36,88.92,370067000
Stonex Group,SNEX,2024-04-03,45.15,45.91,45.15,45.75,183900
Merck,MRK,2024-04-03,124.12,125.97,123.24,123.69,7741400
Conocophillips,COP,2024-04-03,123.96,125.0,123.59,124.65,3707300
Pfizer,PFIZER.NS,2024-04-03,4235.78,4255.83,4187.58,4214.58,28100
Delta Air Lines,DAL,2024-04-03,45.85,46.52,45.57,45.64,11209100
Td Synnex,SNX,2024-04-03,113.65,115.94,113.54,115.46,1958800
Allstate,ALL,2024-04-03,167.6,168.72,167.27,168.35,930300
